righpo,"rope, cord, band",noun,ON “reip”; PG “raipaz”
saiwol,"soul, life force",noun,OE “sāwol”
onnavenung,"acknowledgement, realization",noun,OP “onnaven (to acknowledge) + -ung”
krohs,"cross, two intersecting lines drawn or cut on a surface",noun,"ME “cross”; OE “cross; ON “kross”, Dutch “kruis”; G “Kereuz”"
utkrohs,across; to go across,"preposition, verb","OP “ut + krohs” out cross, based on ME “acros”"
innerbraed,sandwich,noun,OP “inne barl a braed” between bread. Based on Catalan “entrepá”
oka,energy,noun,Icelandic & ON orka
okaðe,energetic,adjective,OP “oka (energy) + -ðe”
onnaven,to acknowledge; to realize,verb,"OE “oncnawan”, altered for “naven” from “cnawaPWG “knāan”"
setur,"rite, riutal, religious or solemn custom",noun,OE “sidu”; ON “siðr”
nahiel,"to reveal, expose, uncover, disclose",verb,OP “na- + hiel (to cover)”
nahielim,"revelation, disclosure",noun,OP “nahiel (to reveal) + -im”
kobreken,"to corrupt, to alter or disrupt something for the worse",verb,OP “ko- + breken” to break together
magiedaed,"magic spell, conjuration",noun,OP “magie + daed” magic deed
fazur,"(chemistry) solid; solid, firm, strong, steady","noun, adjective",ON “fastr”; PG “fastuz”
amat,being; state of existence; (philosophy) One’s basic nature; essence or personality,"noun, verb",from OP “ama”
unaft,unity,noun,OP “un (one) + -aft”
nalikhen,"to dislike, have a feeling of aversion or antipathy",verb,OP “na- + likhen” to un-like something
gelaßt,"decree, edict",noun,G “Erlaß”; Gothic “gagrēfts”
mejan,"to proclaim, to declare",verb,Gothic “mērjan”; PG mērijaną
mejanung,"proclamation, declaration",noun,OP “mejan (to proclaim) + -ung”
loba,praise; to praise,"noun, verb","OE, OS, Dutch, & ON “lof”; G, LG “Lob”"
mingenti,platinum,noun,OP “min- + genti”; based from Spanish “platina” (little silver)
haflesen,"to behead, to decapitate, cut off the head of a being",verb,OP “haf + les + -en” to make headless
sylok,silk,noun,"ME “silk, sylk”; OE “sioloc, seoloc”; ON “silki”; Chinese “絲 sī”"
biezig,busy,adjective,ME “bisy”; OE “bisiġ”; Dutch “bezig”; LG “besig”
naollen,"to avoid, prevent, avert, ward off",verb,"OP “na- + ollen (to allow, to enable)”"
lohk,"lock, to lock (something), to fasten","noun, verb","ME “lok, locken”; OE “loc, lūcan”"
ki,key,noun,"ME “keye, kaye”; OE “cǣġ”, Scots “key, kay”; Saterland Frisian “Koai”, West Frisian “kaai”"
kitol,keyhole,noun,OP “ki + tol” key hole
klysa,"to close, to enclose; to shut (something off/someone up)",verb,"Early ME “clusen, clos”; OE “cǣġ”"
ettama,"to exist, to have real being whether material or spiritual",verb,"OP “ett + ama” to be real, to truly be"
ettamin,"existence, reality; (philosophy) physical universe, cosmos",noun,OP “ettama (to exist) + -im”
sollasblief,"solstice, (esp. in relation to somer/vintar sollasblief)",noun,OP “sollast + blief” sun stead; based on Latin “solstitium” & OE “sunnstede”
twighnokta,equinox,noun,OP “twigh + nokta” equal night; Based on Latin “aequinoctium” & OE “efnniht”
selest,"celestial body, heavenly body (stars, planets, comet, etc.)",noun,OP “selestan - -an”; based on Spanish “astro”
navaelk,"none; no any; nopony; by no amount, not at all","pronoun, adjective","OP “na- + vaelk (each, every, all)” "
establaðe,"domestic, relating to home, or domestic activities",adjective,"OP “establa (house, home) + -ðe” "
establaðen,to domesticate,verb,OP “establaðe (domestic) + -en”
onrðe,"proud; honoured, feeling satisfaction (merits, achievements)",adjective,OP “onr (honor) + -ðe”
onrðen,"pride, gratification, satisfaction",noun,OP “onrðe (proud) + -en”
þeud,"tribe, ethnic group",noun,"OE “þeod”, related to “Dutch, Deutsch” “of the people, poplar”, PG “þeudō”, PWG “þeudu”"
daðis,"act, a theatrical play; action; to act (out)","noun, verb",G “Tat”; ME & OHG “tāt”; OS “dād”; Gothic “dēþs”
daðiser,"actor, actress",noun,"OP “daðis (act, to act) + -er” "
daðisðe,active,adjective,"OP “daðis (action, to act) + -ðe”"
framiþ,foreign,adjective,OS “fremithi”; Dutch “vreemd”; OHG “fremidi”; G “fremd”; Gothic “framaþs”; PWG “framiþī”
framiþer,foreigner,noun,OP “framiþ (foreign + -er”
smude,"mute, dumb (unable to speak), silent, not making a sound",adjective,ME & OE “dumb”; OHG “stum”; Middle French “muet”; PWG “stumm”
smuden,"to silence, to deaden, muffle; shut up! shut it! Quiet!","verb, interjection","OP “smude (mute, dumb, silent”) + -en”"
kwohl,"disaster, catastrophe; (of animals/diseases) plague, epidemic",noun,"OE “wōl, cwild”; PWG “kwildiz”"
bruhgja,bridge,noun,OE “bryċġ”; PWG “bruggju”
bakkaß,"bag, sack, pack",noun,ME “sach”; OE “sacc”; ME “bagge”; ON “baggi”
kißt,"box, chest",noun,"ME “chest”; OE “ċest, ċist”; Dutch “kist”; OS & OHG “kista”; PWG “kistu”"
ohkse,(animal) ox,noun,ME “oxe”; OE “oxa”; West Frisian “okse”; Dutch “os”; G “Ochse”
boule,"(animal) bull, male cattle",noun,"ME “bole, bul, bule”; OE “bula”; ON “boli”"
wiesount,(animal) buffalo; bison,noun,"OHG “wisunt”; G “Wisent”; OE “wesend, wusend”; MDutch “wēsent”"
flaßka,"flask, bottle, vial",noun,"OE “flasce, faxe”; Frankish “flaskā”; LG “Flaske, Fless”, G “Flasche”, Danish “flaske”"
ziepot,"kettle, teapot",noun,OP “zie + pot” tea pot
haltalim,"container, receptacle, vessel ",noun,OP “haltal + -im” thing that hold stuff
vierhaltalim,cauldron,noun,OP “vier + haltalim” fire vessel
sefarmar,"superior; higher in rank, status, or quality",adjective,"OP “sefar (excellent, super) + -mar”"
sefarmest,"supreme; highest in rank, status, or quality",adjective,"OP “sefar (excellent, super) + -mest”"
agermar,"inferior; lowest in rank, status, or quality",adjective,"OP “ager (negative, bad) + -mar”"
agermest,"lowest in rank, status, or quality",adjective,"OP “ager (negative, bad) + -mest”"
rohrae,"reed; tube, pipe, duct; (artillery) cannon",noun,"Danish “rør”, ON “reyrr”; G “rohr; röhre”, “OHG rōr”"
komeþohrae,party cannon,noun,OP “komeþ + rohrae” party cannon
hrawu,raw (of food and/or natural materials) ,adjective,"ME “rawe, raw, rau” OE “hrēaw”; Dutch “rauw”; G “roh”; Icelandic “hrár”"
hrosaeglen,hippogriff,noun,OP “hros + aeglen” horse eagle
nukwod,"bare, naked, nude",adjective,"OE “nacod”, ME “nud”, PG “nakwadaz”"
gromalond,"countryside, rural area, farmland",noun,OP “groma + lond” land in which to farm
saegrenz,"coast, shore",noun,OP “sae + grenz” sea border
dohdlond,"wasteland; hellscape, Mordor; devastated, uninhabitable area",noun,OP “dohd + lond”  dead land
hyggern,"corner, edge, nook",noun,G “ecke”; ON “hyrna”; PWG “aggju”; PG “hurnijǭ”
ufte,"often, frequently",adverb,"ME & Danish “ofte”; OE, Icelandic, & G “oft”; Swedish “ofta”, Gothic “ufta” "
tiðuja,frequent,adjective,"Icelandic “tíður”; Old Norse “tíðr”,  PG “tīdijaz”"
tapp,"top, peak, summit, overside; near end of somewhere",noun,"Scots “tap”, North Frisian “top, tap, tup”; LG “topp”; PWG “topp”; PG “tuppaz”"
seldaen,"seldom, rarely, barely",adverb,OE “seldan”; Dutch zelden; G “selten”; Danish sjælden; N “sjelden”; Icelandic “sjaldan
gewounliß,"normal, usual, ordinary",adjective,OE “ġewunelīċ”; PWG “gawunalīk”; Dutch “gewoonlijk”; OHG “giwonalīh”; G “gewöhnlich”
nagewounliß,"abnormal, unusual, atypical",adjective,"OP “na- + gewounliß (normal, usual)”"
gewounlißan,"normally, usually, ordinarily",adverb,"OP “gewounliß (normal, usual) + -an”"
tappriksar,"monarch, sovereign, head of state. top ruler of a state",noun,OP “tapp + riksar” top ruler
selvwiht,"arrogance, conceit, pride, hubris, self-importance",noun,OP “selv + wiht” self-weight
selvwihðe,"proud (negative connotation), haughty, arrogant",adjective,"OP “selvwiht (arrogance, hubris) + ðe”"
haerpo,"(musical instrument) harp, lyre",noun,OE “hearpe”; ME “harpe”; “PG harpǭ”; Scots “hairp”; G “Harfe”; Danish “harpe”; Swedish “harpa”
tromel,"(musical instrument) drum, percussion instrument",noun,"MDutch “tromme”; MLG “trumme”; MHG “trumme, trumbe”; G “Trommel”; Danish “tromme”; N “tromme”"
byme,(musical instrument) trumpet,noun,"OE “bīeme, bȳme, bīme, bēme”"
hwiglou,(musical instrument) flute,noun,Finnish “huilu”; PG “sweglō” 
tourm,tower,noun,"OE “tūr, tor, torr”; Scots “tour, towr, towre”; Dutch “toren”; G “Turm”; Icelandic “turn”;"
fiðelo,"violin, fiddle",noun,OE “fiþele” ; OHG “fidula”; G “Fiedel”; MDutch “vedele”; ON & Icelandic “fiðla”; PG “fiþulǭ”
fiðela,viola,noun,"from OP “fiðelo”, inspired from “viola”"
stourfiðelo,cello,noun,OP “stour + fiðelo” big violin
grettfiðelo,double bass,noun,OP “grett + fiðelo” great violin
funßaft,"function, use, purpose (when referring to machines)",noun,English “function”; Latin “functio”
ewt,"if not, or (when used to refer to the negative of something)",conjunction,Latin “aut”; PIE “h₂ewti”
inmojar,virgin; someone who has not had sex,noun,"OP “inmojan (chastetly, purely) + -r”"
krammenfum,"restaurant, eating place",noun,OP “krammen + fum” place of food
hwaeðer,whether,conjunction,"OE “hweþer, hwæþer”; OHG “wedar”; ON “hvaðarr”"
saliev,saliva,noun,"Old Irish ""saile, sele"" and Modern Swedish ""saliv"", From Latin ""saliva"" of unknown origin"
verm,"warm, balmy, temperate; (figuratively) friendly, pleasant",adjective,"ME ""warm, warme, werm, wearm"", from OE ""wearm""; From ON ""varmr"", from PG ""warmaz"""
vermim,"warmth, cosiness",noun,"OP “verm (warm, balmy) + -im”"
þoh,though; although,conjunction,"ME “thaugh, thagh”; OE “þēah”; ON “þóh”; Scots “thoch”, Dutch & G “doch”; Icelandic “þó”"
wennhalta,to babysit,verb,OP “wenna + halta” to hold an infant
gathalta,"to catsit, cat care",verb,OP “cat + halta” to take care of a cat
hundhalta,"to dogsit, dog care",verb,OP “dog + halta” to take care of a dog
fougylhalta,"to birdysit, bird care",verb,OP “bird + halta” to take care of a bird
estebhalta,to housesit,verb,OP “house + halta” to take care of a house
zoukua,sugar,noun,"Dutch “suiker”; ME ""sugre, sucre""; G ""zucker"", OHG ""zucura"", from Old Italian ""zucchero"",  "
fald,"to fold, to crease, to double; to crimp, to pleat",verb,"ME “folden” OE “fealden”, PG “falþaną”, from PIE ”pel-”"
skodr,"insect, bug",noun,Faroese & Icelandic “skordýr”
hwiskra,"whisper, to ","noun, verb",ME whisperen; OE hwisprian; Dutch wisperen; G wispern; Icelandic hvískra; PWG hwisprōn; PG hwisprōną
hwisela,"whistle, to whistle","noun, verb","ME “whistel, whistil, whistle”; OE “hwistle”; PG “hwisprōną”; PIE “ḱweys-, *ḱwey-”"
daegul,secret,"noun, verb","OE dēagol, dīegol, dīgol, dēogol; Proto-West Germanic *daugul"
giryn,mystery,noun,OE “ġerȳne”; OHG “girūni”; Gothic “garūni”; PG “garūniją”
girynðe,mysterious,adjective,OP “giryn (mystery) + ðe”
slaeptrapim,"pajamas, nightclothes",noun,OP “slaep + trapim” clothing to sleep in
utvieg,"exit, way out; (euphemistic) death",noun,OP “ut + vieg” way out
pahl,"pole, post, rod, bar",noun,OE “pāl”; PWG “pāl”
sokn,"a visit, a visiting",noun,"OE “socn”; PWG “sōkni”, PG “sōkniz”"
sokna,to visit,verb,OP “sokn (a visit) + -a” 
sokner,"visitor, guest; tourist",noun,OP “sokn (a visit) + -er” 
raegljout,sonic rainboom,noun,OP “raeg + ljout” a loud noise in the rain
vaermette,"spouse, consort; husband or wife",noun,OP “vaere + mette” a forever mate; inspired from OE “ġemaca”
wyðdaemon,"demon, devil, “anti-angel”",nouns,OP “wyð + daemon” anti-angel
wyrtz,"spice (general), seasoning, condiment",noun,OE “myrt”; OS “wurt”; OHG “wurz”; ON “urt”; Gothic “waurts”; PWG “wurti”; PG “wurt-”
krydz,herb (medicinal/seasonal),noun,Dutch “kruid”; ODutch “krūd”; Danish “krydderi”; Swedish “krydda”; N “krydder”; Icelandic “krydd”
stourspekko,"tarantula, large spider",noun,OP “stour + spekko” big spider
nyran,"nearly, closely; almost, just about",adverb,OP “nyr (near) + -an”
ageðeza,"lizard, newt salamander",noun,OE āþexe; Proto-West Germanic agiþahsijā; Proto-Germanic agiz
hafuk,hawk,noun,"ME “hauk, havek”; OE “hafoc”; Dutch “havik”; G “Habicht”; Icelandic “haukur”; Finnish “haukka”; PWG “habuk”"
ulfo,owl,noun,"OE “ ūle, ūf, ūfe”; West Frisian “ûle”; Dutch “uil”; Danish and N “ugle”; German “Uhu”; Swedish “uv”"
agnakramb,giraffe,noun,OP “agna + kramb” long neck
nebba,"beak, bill (of a bird)",noun,"Danish “næb”, ON “nebbi”; PG “nabją”"
agnebba,(bird) toucan; hornbill,noun,OP “agna + nebba” long beak
spewo,(bird) sparrow,noun,"ME “sparwe, sparowe”; OE “spearwa”; German “Sperling”; Swedish “sparv”; PWG “sparwō”; PG “sparwô”; PIE “spḗr”"
swahlbe,(bird) swallow,noun,"ME “swalewe, swalowe”; OE “swealwe”; Danish & N “svale”; G “Schwalbe”; PWG “swalwā”, PG “swalwǭ”"
spehtoz,"(bird) woodpecker, speight",noun,OE “spiht”; Danish “spætte”; ON “spætr”; Dutch “specht”; G “Specht”; OHG “speht”; PWG “spiht”; PG “spihtaz”
agulstrae,(bird) magpie,noun,OE “agu”; G “Elster”; MHG “ester; agelster; OHG “agalstra”
kigero,(bird) jay,noun,"OE “higera, PWG “higurō”; PIE “kik-”"
bloukigero,(bird) blue jay,noun,OP “blou (blue) + kigero (jay)”
blougyl,(bird) bluebird,noun,OP “blou (blue) + fougyl (bird)”
aelkis,"(animal) elk, moose",noun,"OE “eolc”; LG “Elk”; G “Elc”; Danish & N “elg”; PG “elhaz, algiz”"
douba,"(bird) dove, pigeon",noun,"ME “dove, douve, duve”; OE “dūfe”; PWG “dūbā”; PG “*dūbǭ”"
ylpand,(animal) elephant,noun,"OE “elpend, ylpend, ylp”; PWG “elpand”"
ylbon,"ivory, elephant bone",noun,OP “ylpand + bon” elephant bone
storkos,(animal) stork,noun,ME “stork”; OE “storc”
kran,(bird) crane,noun,"ME “crane”; OE “cran”; Scots cran; Dutch kraan; Low German Kroon; German Kran; PWG “kran, kranō”; PG “kranô”"
þrouto,throat,noun,"ME “throte”; OE “þrote, þrota, þrotu”; PG “þrutō”; PIE “trud-”"
toundr,"tundra, flat treeless arctic region",noun,"Borrowed from Yakyakistani (Mongolian): тундр ""tundr"", Sámi languajes тӯндрэ ""tūndre"""
vowa,"expression of surprise, dismay, worry or indignation; (before a noun) “what a...”",interjection,Scots “wow”; ME “woah”; variant of woa
prin,"chief, captain, head, leader; main, principal, prime, leading",noun,Unicornish (Latin) “prīnceps”
prinstallo ,prince (pony hierarchy),noun,OP “prin + stallo”
prinmae,princess (pony hierarchy),noun,OP “prin + mae”
wyþ,"(expresses strong disagreement), on the contrary",adverb,"from OP “wyþ- (anti-, against)”"
selestris,"Titan, Jotun, Anunnaki; primordial divinity or cosmic force",noun,OP “selest + ris” celestial/cosmic giant
vor-,"agreeing with, supporting, favouring; substituting for",prefix,"OP “vor (to advance, to forward)”"
pionan,"to torment, to make suffer, to torture; to punish severely",verb,ON “pína”; OE pīnian; PWG “pīnōn”;Latin “pēna”
pionim,"torment, abuse, torment; punishment",noun,"OP “pionan (to torment, to punish) + -im)"
gibar,"behaviour, conduct, attitude; disposition, demeanour, gesture",noun,OE “gebæru”; OS “gibāri”; OHG “gibāri”; PWG “gabārī”
giba,"to behave, to conduct oneself, to act",verb,"from OP “gibar (behaviour, demeanour)”"
folktalla,"folk tale, myth",noun,OP “folk (people of a nation or culture) + talla (story)”
laku,"lack, deficiency, need",noun,"ME “lack, lakke, lak” OE “læc”; PWG “lak”; PG “laką, lakaz; lakaz” "
lakuan,"to lack, to be without, to be short (of/for something)",verb,"OP “laku (lack, deficiency) + -an”"
